framework;model_family;model_name;docker_image;python_package;module;class_name
Hugging Face;Qwen2-VL;Qwen2-VL-2B;ghcr.io/vlmhyperbenchteam/qwen2-vl:ubuntu22.04-cu124-torch2.4.0_v0.1.0;model_qwen2-vl:0.1.0;models;Qwen2VL_model
Hugging Face;Qwen2-VL;Qwen2-VL-7B;ghcr.io/vlmhyperbenchteam/qwen2-vl:ubuntu22.04-cu124-torch2.4.0_v0.1.1;model_qwen2-vl:0.1.1;models;Qwen2VL_model
